id,scientificName,decimalLatitude,decimalLongitude,kingdom,phylum,class,order,family,genus,taxonRank,eventDate,image_filename,species_id
36075977,Spinus tristis,45.55397,-78.59676,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,species,2019-11-23T10:04:00-05:00,36075977.jpg,6955
252518935,Spinus tristis,42.3924033333,-88.2021116667,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,species,2024-11-21T11:57:29-06:00,252518935.jpg,6955
180368287,Spinus tristis,42.8216247551,-112.4048311809,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,species,2023-08-26T16:10:00-06:00,180368287.jpg,6955
144302416,Spinus tristis,48.4691216685,-89.2811410455,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,species,2021-05-22T14:52:00-04:00,144302416.jpg,6955
36075982,Spinus tristis,45.55397,-78.59676,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,species,2019-11-23T10:04:00-05:00,36075982.jpg,6955
252524220,Spinus tristis,43.5016540366,-88.3289730182,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,species,2024-11-21T10:21:57-06:00,252524220.jpg,6955
36076434,Spinus tristis,42.2808583333,-81.8431116667,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,species,2019-11-24T13:33:00-05:00,36076434.jpg,6955
36076430,Spinus tristis,42.28086,-81.843075,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,species,2019-11-24T13:31:00-05:00,36076430.jpg,6955
108223648,Spinus tristis,44.9388028489,-93.2217779458,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,species,2022-03-04T15:35:00-06:00,108223648.jpg,6955
36075986,Spinus tristis,45.55397,-78.59676,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,species,2019-11-23T10:12:00-05:00,36075986.jpg,6955
36075975,Spinus tristis,45.55397,-78.59676,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,species,2019-11-23T10:04:00-05:00,36075975.jpg,6955
36074974,Spinus tristis,33.7176924018,-96.7815444244,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,species,2019-11-25T01:12:00-06:00,36074974.jpg,6955
144298125,Spinus tristis,48.469081066,-89.2815278692,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,species,2021-05-31T16:47:00-04:00,144298125.jpg,6955
180367297,Spinus tristis,43.1589933286,-79.2607356132,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,species,2023-08-26T11:00:00-04:00,180367297.jpg,6955
36074947,Spinus tristis,33.7122685697,-96.7887831237,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,species,2019-11-25T00:50:00-06:00,36074947.jpg,6955
108221283,Spinus tristis,44.6936467,-77.2333929,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,species,2022-03-08T14:13:00-05:00,108221283.jpg,6955
252519275,Spinus tristis,42.3924033333,-88.2021116667,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,species,2024-11-21T09:21:04-06:00,252519275.jpg,6955
